,index,district,ZIP
0,0,Charlottenburg,10585
1,1,Charlottenburg,10587
2,2,Charlottenburg,10589
3,3,Charlottenburg,10623
4,4,Charlottenburg,10625
5,5,Charlottenburg,10627
6,6,Charlottenburg,10629
7,7,Charlottenburg,10707
8,8,Charlottenburg,10709
9,9,Charlottenburg,10711
10,10,Charlottenburg,10719
11,11,Charlottenburg,10787
12,12,Charlottenburg,10789
13,13,Charlottenburg,14050
14,14,Charlottenburg,14055
15,15,Charlottenburg,14057
16,16,Charlottenburg,14059
17,18,Charlottenburg-Nord,10589
18,19,Charlottenburg-Nord,13353
19,20,Charlottenburg-Nord,13627
20,21,Charlottenburg-Nord,13629
21,24,Grunewald,10711
22,25,Grunewald,14055
23,26,Grunewald,14193
24,27,Grunewald,14195
25,28,Grunewald,14199
26,30,Halensee,10709
27,31,Halensee,10711
28,32,Halensee,10713
29,36,Schmargendorf,14193
30,37,Schmargendorf,14195
31,38,Schmargendorf,14197
32,39,Schmargendorf,14199
33,42,Westend,14050
34,43,Westend,14052
35,44,Westend,14053
36,45,Westend,14055
37,46,Westend,14057
38,47,Westend,14059
39,48,Wilmersdorf,10707
40,49,Wilmersdorf,10709
41,50,Wilmersdorf,10711
42,51,Wilmersdorf,10713
43,52,Wilmersdorf,10715
44,53,Wilmersdorf,10717
45,54,Wilmersdorf,10719
46,55,Wilmersdorf,10777
47,56,Wilmersdorf,10779
48,57,Wilmersdorf,10789
49,58,Wilmersdorf,10825
50,59,Wilmersdorf,14195
51,60,Wilmersdorf,14197
52,61,Wilmersdorf,14199
53,66,Friedrichshain,10243
54,67,Friedrichshain,10179
55,68,Friedrichshain,10245
56,69,Friedrichshain,10317
57,70,Friedrichshain,10247
58,71,Friedrichshain,10249
59,72,Friedrichshain,10178
60,73,Friedrichshain,10179
61,78,Kreuzberg,10961
62,79,Kreuzberg,10969
63,80,Kreuzberg,10963
64,81,Kreuzberg,10785
65,82,Kreuzberg,10965
66,83,Kreuzberg,10967
67,84,Kreuzberg,10997
68,85,Kreuzberg,10999
69,90,Alt-Hohenschönhausen,12681
70,91,Alt-Hohenschönhausen,13051
71,92,Alt-Hohenschönhausen,13053
72,93,Alt-Hohenschönhausen,13055
73,96, Falkenberg,13057
74,102,Fennpfuhl,10367
75,103,Fennpfuhl,10369
76,108,Friedrichsfelde,10315
77,109,Friedrichsfelde,10317
78,110,Friedrichsfelde,10319
79,114,Lichtenberg,10315
80,115,Lichtenberg,10365
81,116,Lichtenberg,10367
82,117,Lichtenberg,10317
83,118,Lichtenberg,10369
84,120,Karlshorst,10317
85,121,Karlshorst,10318
86,126,Malchow,13051
87,132,Neu-Hohenschönhausen,13051
88,133,Neu-Hohenschönhausen,13053
89,134,Neu-Hohenschönhausen,13057
90,135,Neu-Hohenschönhausen,13059
91,138,Rummelsburg,10315
92,139,Rummelsburg,10317
93,140,Rummelsburg,10318
94,141,Rummelsburg,10365
95,144,Wartenberg,13051
96,145,Wartenberg,13059
97,150,Biesdorf,12683
98,151,Biesdorf,12685
99,156,Kaulsdorf,12555
100,157,Kaulsdorf,12619
101,158,Kaulsdorf,12621
102,159,Kaulsdorf,12623
103,162,Hellersdorf,12619
104,163,Hellersdorf,12621
105,164,Hellersdorf,12627
106,165,Hellersdorf,12629
107,168,Marzahn,12679
108,169,Marzahn,12681
109,170,Marzahn,12683
110,171,Marzahn,12685
111,172,Marzahn,12687
112,173,Marzahn,12689
113,174,Mahlsdorf,12621
114,175,Mahlsdorf,12623
115,180,Gesundbrunnen,13347
116,181,Gesundbrunnen,13353
117,182,Gesundbrunnen,13355
118,183,Gesundbrunnen,13357
119,184,Gesundbrunnen,13359
120,185,Gesundbrunnen,13409
121,186,Hansaviertel,10555
122,187,Hansaviertel,10557
123,192,Mitte,10115
124,193,Mitte,10117
125,194,Mitte,10119
126,195,Mitte,10178
127,196,Mitte,10179
128,197,Mitte,10435
129,198,Moabit,10551
130,199,Moabit,10553
131,200,Moabit,10555
132,201,Moabit,10557
133,202,Moabit,10559
134,203,Moabit,13353
135,204,Tiergarten,10117
136,205,Tiergarten,10557
137,206,Tiergarten,10623
138,207,Tiergarten,10785
139,208,Tiergarten,10787
140,209,Tiergarten,10963
141,210,Wedding,13347
142,211,Wedding,13349
143,212,Wedding,13351
144,213,Wedding,13353
145,214,Wedding,13357
146,215,Wedding,13359
147,216,Wedding,13405
148,217,Wedding,13407
149,218,Wedding,13409
150,222,Britz,12051
151,223,Britz,12057
152,224,Britz,12099
153,225,Britz,12347
154,226,Britz,12349
155,227,Britz,12351
156,228,Britz,12359
157,234,Buckow,12107
158,235,Buckow,12305
159,236,Buckow,12349
160,237,Buckow,12351
161,238,Buckow,12353
162,239,Buckow,12357
163,240,Buckow,12359
164,246,Gropiusstadt,12351
165,247,Gropiusstadt,12353
166,248,Gropiusstadt,12357
167,252,Neukölln,10965
168,253,Neukölln,10967
169,254,Neukölln,12043
170,255,Neukölln,12045
171,256,Neukölln,12047
172,257,Neukölln,12049
173,258,Neukölln,12051
174,259,Neukölln,12053
175,260,Neukölln,12055
176,261,Neukölln,12057
177,262,Neukölln,12059
178,263,Neukölln,12099
179,264,Rudow,12351
180,265,Rudow,12353
181,266,Rudow,12355
182,267,Rudow,12357
183,268,Rudow,12359
184,270,Blankenburg,13051
185,271,Blankenburg,13125
186,272,Blankenburg,13129
187,276,Blankenfelde,13127
188,277,Blankenfelde,13158
189,278,Blankenfelde,13159
190,282,Buch,13125
191,283,Buch,13127
192,288,Französisch Buchholz,13127
193,289,Französisch Buchholz,13129
194,290,Französisch Buchholz,13156
195,294,Heinersdorf,13086
196,295,Heinersdorf,13088
197,296,Heinersdorf,13089
198,297,Heinersdorf,13129
199,300,Karow,13125
200,306,Niederschönhausen,13127
201,307,Niederschönhausen,13156
202,308,Niederschönhausen,13158
203,309,Niederschönhausen,13187
204,312,Pankow,10439
205,313,Pankow,13129
206,314,Pankow,13187
207,315,Pankow,13189
208,318,Prenzlauer Berg,10119
209,319,Prenzlauer Berg,10247
210,320,Prenzlauer Berg,10249
211,321,Prenzlauer Berg,10369
212,322,Prenzlauer Berg,10405
213,323,Prenzlauer Berg,10407
214,324,Prenzlauer Berg,10409
215,325,Prenzlauer Berg,10435
216,326,Prenzlauer Berg,10437
217,327,Prenzlauer Berg,10439
218,328,Prenzlauer Berg,13187
219,329,Prenzlauer Berg,13189
220,330,Rosenthal,13156
221,331,Rosenthal,13158
222,336,Stadtrandsiedlung Malchow,13051
223,337,Stadtrandsiedlung Malchow,13088
224,338,Stadtrandsiedlung Malchow,13089
225,339,Stadtrandsiedlung Malchow,13129
226,342,Weißensee,13051
227,343,Weißensee,13086
228,344,Weißensee,13088
229,348,Wilhelmsruh,13156
230,349,Wilhelmsruh,13158
231,354,Borsigwalde,13403
232,355,Borsigwalde,13509
233,360,Frohnau,13465
234,366,Heiligensee,13503
235,367,Heiligensee,13505
236,372,Hermsdorf,13465
237,373,Hermsdorf,13467
238,378,Konradshöhe,13505
239,384,Lübars,13435
240,385,Lübars,13469
241,390,Märkisches Viertel,13435
242,391,Märkisches Viertel,13439
243,396,Reinickendorf,13403
